RA,Dec
130.48271908987107,-17.55461874185768
130.48157250443785,-17.55352526864007
130.48271937780615,-17.552432077332494
130.48386610032577,-17.55243221169871
130.4850128228636,-17.552432339465756
130.48615954541881,-17.552432460633675
130.48615954541881,-17.552432460633675
130.48615966868041,-17.55133912828733
130.48615966868041,-17.55133912828733
130.4850130831875,-17.550245674751334
130.48501321334712,-17.549152342338196
130.48501321334712,-17.549152342338196
130.48386664857125,-17.54805888215565
130.48386664857125,-17.54805888215565
130.48271995365556,-17.5480587478251
130.48271995365556,-17.5480587478251
130.48157310789847,-17.549151939319756
130.48157310789847,-17.549151939319756
130.481572957036,-17.550245271706192
130.48042609059252,-17.551338456500833
130.47927937503428,-17.551338302347382
130.47813265949796,-17.55133814159522
130.47698594398446,-17.551337974244344
130.47583922849472,-17.551337800294775
130.47469251302968,-17.55133761974647
130.47354579759022,-17.551337432599464
130.47239908217725,-17.551337238853755
130.47125236679173,-17.551337038509335
130.47010565143458,-17.5513368315662
130.46895893610667,-17.551336618024347
130.46781222080895,-17.551336397883805
130.46666550554238,-17.551336171144534
130.46551903778638,-17.550242605634043
130.4666659866946,-17.549149506731503
130.4666659866946,-17.549149506731503
130.4666659866946,-17.549149506731503
130.4655195327346,-17.548055941178735
130.46551978020426,-17.546962608897527
130.46551978020426,-17.546962608897527
130.4643730926062,-17.546962369024524
130.46322666631005,-17.54586879027099
130.46322692757496,-17.544775457953577
130.46322718883673,-17.543682125603137
130.46322745009533,-17.542588793220457
130.46437436441238,-17.541495707194503
130.46437436441238,-17.541495707194503
130.46437436441238,-17.541495707194503
130.4632279726031,-17.540402128361524
130.4632279726031,-17.540402128361524
130.46208132647658,-17.54040187539535
130.46093468038572,-17.540401615834863
130.4597880343315,-17.54040134968004
130.45864167716474,-17.539307744526027
130.45864196601116,-17.53821441209212
130.45864225485414,-17.537121079629927
130.45864225485414,-17.537121079629927
130.4574956295762,-17.537120800342098
130.45634900433762,-17.537120514461247
130.45520237913934,-17.537120221987387
130.45405575398223,-17.537119922920528
130.45290912886725,-17.537119617260654
130.45176250379532,-17.537119305007778
130.4506162159064,-17.53602565381123
130.4506162159064,-17.53602565381123
130.4494695978232,-17.53602532839396
130.4483233307205,-17.53493166405043
130.44832368165095,-17.533838331690863
130.44832403257718,-17.532744999306217
130.44832403257718,-17.532744999306217
130.44717779310741,-17.53165132838481
130.4471781509247,-17.530557995974874
130.4471785087377,-17.529464663542253
130.44832543623986,-17.528371669532774
130.44832543623986,-17.528371669532774
130.44832578714497,-17.527278337034677
130.44832613804587,-17.52618500451627
130.44832613804587,-17.52618500451627
130.44717993994658,-17.525091333600773
130.44718029773807,-17.52399800106664
130.44718065552522,-17.522904668514595
130.44718101330807,-17.52181133594542
130.448327892487,-17.52071834164761
130.44947441393404,-17.520718673348842
130.45062093542688,-17.52071899846364
130.45062093542688,-17.52071899846364
130.45062127250506,-17.519625665796504
130.45062127250506,-17.519625665796504
130.4494747579109,-17.519625340703307
130.44832859423386,-17.518531676385898
130.44832894510097,-17.517438343733744
130.44832929596384,-17.516345011068452
130.44832929596384,-17.516345011068452
130.44718315991472,-17.515251340215563
130.44718315991472,-17.515251340215563
130.44603667305458,-17.51525099545605
130.44489055779218,-17.51415731149188
130.44603740235212,-17.51306433015776
130.44603740235212,-17.51306433015776
130.44603776699432,-17.51197099749329
130.44603776699432,-17.51197099749329
130.44489130087726,-17.511970646219606
130.44374483480962,-17.511970288362992
130.44259875412422,-17.5108765913212
130.44259875412422,-17.5108765913212
